,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Alex Abrines,SG,24,OKC,75,8,1134,5.0,12.7,0.395,3.7,9.7,0.38,1.4,3.1,0.443,1.7,2.0,0.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,116.0,110.0,9.0,0.5670000000000001,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,0.094,-0.5,-1.7,-2.2,-0.1,2018
1,Quincy Acy,PF,27,BRK,70,8,1359,4.6,13.0,0.35600000000000004,3.6,10.4,0.349,1.0,2.6,0.384,1.8,2.1,0.8170000000000001,1.4,7.8,9.2,2.0,1.2,1.0,2.1,5.3,14.7,99.0,110.0,8.2,0.525,0.8,0.16399999999999998,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,0.036000000000000004,-2.0,-0.2,-2.2,-0.1,2018
2,Steven Adams,C,24,OKC,76,76,2487,8.9,14.2,0.629,0.0,0.0,0.0,8.9,14.2,0.631,3.2,5.7,0.5589999999999999,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,125.0,107.0,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3.0,9.7,0.187,2.2,1.1,3.3,3.3,2018
3,Bam Adebayo,C,20,MIA,69,19,1368,6.4,12.5,0.512,0.0,0.3,0.0,6.4,12.2,0.523,4.7,6.6,0.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,116.0,105.0,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8,2018
6,LaMarcus Aldridge,C,32,SAS,75,75,2509,13.8,27.1,0.51,0.5,1.9,0.293,13.3,25.3,0.526,6.7,8.0,0.8370000000000001,5.0,7.8,12.8,3.1,0.9,1.8,2.2,3.2,34.9,118.0,105.0,25.0,0.57,0.068,0.29600000000000004,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3,2018
7,Jarrett Allen,C,19,BRK,72,31,1441,7.9,13.4,0.589,0.2,0.5,0.333,7.7,12.9,0.599,3.8,5.0,0.7759999999999999,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,119.0,108.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,2018
10,Al-Farouq Aminu,PF,27,POR,69,67,2072,5.5,14.0,0.395,3.0,8.1,0.369,2.5,5.8,0.4320000000000001,1.4,1.9,0.738,2.3,10.3,12.6,2.0,1.9,1.0,1.9,3.3,15.5,105.0,104.0,12.0,0.522,0.5820000000000001,0.13699999999999998,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6,2018
12,Kyle Anderson,SF,24,SAS,74,67,1978,5.9,11.2,0.527,0.5,1.5,0.333,5.4,9.7,0.556,2.7,3.7,0.7120000000000001,2.1,8.0,10.1,5.2,2.9,1.5,2.4,2.9,14.9,114.0,101.0,15.9,0.5820000000000001,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.3,4.3,4.1,3.0,2018
13,Ryan Anderson,PF,29,HOU,66,50,1725,5.9,13.7,0.431,3.7,9.7,0.386,2.2,4.0,0.539,2.1,2.7,0.774,2.7,6.8,9.4,1.7,0.7,0.6,1.2,3.6,17.6,121.0,109.0,12.6,0.5920000000000001,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,1.0,-0.8,0.2,1.0,2018
15,Giannis Antetokounmpo,PF,23,MIL,75,75,2756,13.4,25.4,0.529,0.8,2.5,0.307,12.6,22.8,0.5539999999999999,8.8,11.6,0.76,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,116.0,106.0,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4,2018
16,Carmelo Anthony,PF,33,OKC,78,78,2501,9.4,23.2,0.404,3.4,9.4,0.35700000000000004,6.0,13.8,0.4370000000000001,2.9,3.8,0.767,1.3,7.7,9.0,2.0,0.9,1.0,2.0,3.9,25.0,104.0,109.0,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1,2018
17,OG Anunoby,SF,20,TOR,74,62,1481,5.4,11.5,0.471,2.4,6.6,0.371,3.0,5.0,0.604,1.3,2.1,0.629,1.5,4.7,6.1,1.8,1.7,0.5,1.5,4.3,14.6,113.0,108.0,10.0,0.5870000000000001,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,0.098,0.2,0.4,0.6,1.0,2018
19,Trevor Ariza,SF,32,HOU,67,67,2269,5.8,14.1,0.412,3.7,10.0,0.368,2.1,4.1,0.519,1.6,1.9,0.8540000000000001,0.7,5.7,6.4,2.3,2.1,0.3,1.1,2.9,17.0,114.0,107.0,11.8,0.5670000000000001,0.71,0.13699999999999998,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2.0,2018
23,D.J. Augustin,PG,30,ORL,75,36,1760,6.8,15.0,0.452,3.2,7.6,0.419,3.6,7.5,0.485,4.6,5.3,0.868,0.8,3.6,4.5,8.0,1.5,0.0,3.4,2.6,21.3,116.0,114.0,15.4,0.615,0.504,0.35,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,3.3,0.8,4.1,0.11,1.5,-2.5,-0.9,0.5,2018
29,J.J. Barea,PG,33,DAL,69,10,1603,9.5,21.6,0.439,3.6,9.8,0.3670000000000001,5.9,11.8,0.499,2.5,3.2,0.784,0.5,5.8,6.3,13.6,1.1,0.1,4.5,2.6,25.1,109.0,112.0,17.8,0.545,0.454,0.14800000000000002,1.0,13.4,7.0,45.1,1.1,0.2,16.3,24.9,2.3,1.0,3.3,0.098,2.4,-2.3,0.1,0.8,2018
30,Harrison Barnes,PF,25,DAL,77,77,2634,10.2,23.0,0.445,2.3,6.3,0.35700000000000004,8.0,16.7,0.478,4.9,6.0,0.8270000000000001,1.5,7.5,8.9,2.9,0.9,0.3,2.2,1.8,27.7,105.0,111.0,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,-0.7,-1.4,-2.1,-0.1,2018
31,Will Barton,SG,27,DEN,81,40,2683,8.6,19.0,0.452,2.9,7.8,0.37,5.7,11.2,0.51,3.4,4.2,0.805,1.3,6.3,7.6,6.1,1.5,1.0,2.8,3.1,23.4,113.0,112.0,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1.0,2.0,2018
32,Nicolas Batum,SG,29,CHO,64,64,1981,6.6,16.0,0.415,2.3,6.7,0.336,4.4,9.3,0.473,2.7,3.2,0.831,1.4,6.1,7.5,8.6,1.6,0.6,3.2,1.8,18.2,107.0,110.0,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7,2018
34,Aron Baynes,C,31,BOS,81,67,1485,7.1,15.0,0.471,0.1,0.7,0.14300000000000002,7.0,14.3,0.487,2.0,2.6,0.7559999999999999,4.4,10.2,14.6,3.1,0.7,1.7,2.7,6.7,16.2,103.0,103.0,12.0,0.502,0.047,0.175,9.7,22.1,16.0,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3.0,0.097,-3.8,2.1,-1.7,0.1,2018
35,Kent Bazemore,SG,28,ATL,65,65,1789,7.8,18.5,0.42,2.9,7.5,0.394,4.8,11.0,0.438,4.4,5.5,0.7959999999999999,0.7,6.1,6.8,6.2,2.7,1.2,4.3,4.0,22.8,101.0,108.0,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,0.2,2.0,2.2,0.059,-0.6,1.1,0.4,1.1,2018
36,Bradley Beal,SG,24,WAS,82,82,2977,11.4,24.8,0.46,3.3,8.8,0.375,8.1,15.9,0.507,4.9,6.2,0.7909999999999999,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,109.0,110.0,18.4,0.564,0.35700000000000004,0.249,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.111,2.7,-1.0,1.7,2.7,2018
37,Malik Beasley,SG,21,DEN,62,0,583,6.2,15.1,0.41,2.4,7.0,0.341,3.8,8.2,0.469,1.9,2.8,0.667,1.2,4.8,6.0,2.6,1.3,0.6,2.0,3.1,16.7,101.0,113.0,9.0,0.509,0.461,0.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.028,-2.8,-2.4,-5.1,-0.5,2018
38,Michael Beasley,PF,29,NYK,74,30,1653,12.3,24.2,0.507,1.0,2.6,0.395,11.2,21.6,0.52,3.7,4.8,0.78,2.9,9.5,12.4,3.7,1.1,1.3,4.3,4.3,29.3,103.0,110.0,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14.0,26.9,0.9,1.5,2.4,0.069,-1.0,-0.4,-1.5,0.2,2018
39,Marco Belinelli,SG,31,TOT,80,2,1947,8.4,19.1,0.441,3.7,9.9,0.377,4.7,9.2,0.509,3.7,4.1,0.908,0.5,3.3,3.8,3.7,1.6,0.3,2.3,2.3,24.2,110.0,111.0,14.1,0.581,0.517,0.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.8,-2.1,-1.3,0.3,2018
42,Dragan Bender,PF,20,PHO,82,37,2069,4.3,11.2,0.386,2.7,7.5,0.366,1.6,3.7,0.426,0.9,1.2,0.765,0.9,7.4,8.4,3.0,0.5,1.2,2.6,3.8,12.3,95.0,114.0,7.1,0.524,0.665,0.105,2.0,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.7,0.0,-2.7,-0.4,2018
43,Davis Bertans,PF,25,SAS,77,10,1086,7.5,17.0,0.44,4.4,11.7,0.373,3.1,5.3,0.588,1.9,2.3,0.816,0.8,6.3,7.1,3.4,1.2,1.3,1.7,4.3,21.2,115.0,106.0,14.1,0.588,0.6890000000000001,0.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,1.6,1.4,3.1,0.135,1.2,-0.3,1.0,0.8,2018
47,Bismack Biyombo,C,25,ORL,82,25,1495,6.0,11.5,0.52,0.0,0.0,0.0,6.0,11.5,0.521,3.3,5.1,0.65,4.7,10.6,15.3,2.2,0.7,3.1,2.8,5.2,15.3,108.0,107.0,14.1,0.556,0.003,0.446,10.5,24.0,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-3.7,2.1,-1.6,0.2,2018
48,Nemanja Bjelica,PF,29,MIN,67,21,1371,6.2,13.5,0.461,2.8,6.7,0.415,3.5,6.9,0.505,1.3,1.6,0.8,1.9,8.1,10.0,3.1,1.8,0.6,1.9,5.1,16.6,114.0,110.0,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1.0,11.7,14.3,1.7,1.1,2.8,0.097,0.6,-0.1,0.5,0.9,2018
51,Eric Bledsoe,PG,28,TOT,74,74,2322,10.0,21.2,0.473,2.7,7.7,0.34700000000000003,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,109.0,108.0,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.116,2.4,-0.3,2.1,2.4,2018
53,Bogdan Bogdanovic,SG,25,SAC,78,53,2175,8.0,18.0,0.446,3.0,7.7,0.392,5.0,10.3,0.485,2.3,2.8,0.84,0.7,4.5,5.2,6.0,1.7,0.4,2.9,4.0,21.3,107.0,113.0,13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,0.5,-1.5,-1.0,0.6,2018
54,Bojan Bogdanovic,SF,28,IND,80,80,2464,8.2,17.3,0.474,3.1,7.8,0.402,5.1,9.5,0.534,3.6,4.2,0.868,0.6,4.9,5.5,2.4,1.1,0.2,2.2,2.6,23.1,114.0,112.0,13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,3.8,1.6,5.4,0.105,1.1,-1.9,-0.7,0.8,2018
58,Trevor Booker,PF,30,TOT,68,7,1158,7.4,14.4,0.516,0.3,1.4,0.242,7.1,13.0,0.545,2.8,3.9,0.71,4.9,8.4,13.4,3.4,1.2,0.9,2.5,5.0,18.0,114.0,108.0,14.9,0.557,0.096,0.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,1.6,1.3,2.9,0.121,-1.0,0.5,-0.5,0.4,2018
62,Corey Brewer,SF-SG,31,TOT,72,18,1208,5.7,12.7,0.449,1.2,4.4,0.282,4.5,8.3,0.539,2.6,3.6,0.722,1.7,4.5,6.2,2.6,3.2,0.6,2.0,5.6,15.3,107.0,106.0,11.2,0.534,0.348,0.285,3.8,10.0,6.9,7.5,3.2,1.0,12.1,14.3,0.7,1.6,2.3,0.091,-1.6,1.0,-0.6,0.4,2018
65,Dillon Brooks,SF,22,MEM,82,74,2350,7.3,16.6,0.44,2.0,5.7,0.35600000000000004,5.3,10.9,0.484,2.7,3.6,0.747,1.1,4.5,5.5,2.9,1.6,0.4,2.7,5.0,19.3,100.0,113.0,9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,0.1,1.1,1.2,0.024,-1.8,-1.3,-3.1,-0.7,2018
69,Jaylen Brown,SG,21,BOS,70,70,2152,8.7,18.6,0.465,2.8,7.1,0.395,5.9,11.5,0.507,3.5,5.4,0.644,1.5,6.5,8.0,2.6,1.6,0.6,2.9,4.2,23.6,105.0,105.0,13.6,0.562,0.381,0.29,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,1.2,3.2,4.5,0.1,-0.6,0.4,-0.2,1.0,2018
75,Reggie Bullock,SF,26,DET,62,52,1732,7.7,15.7,0.489,3.6,8.1,0.445,4.1,7.6,0.536,1.1,1.4,0.7959999999999999,0.8,3.7,4.4,2.7,1.4,0.4,1.4,2.0,20.1,118.0,110.0,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,0.117,1.3,-0.7,0.7,1.2,2018
77,Alec Burks,SG,26,UTA,64,1,1059,8.1,19.6,0.411,2.2,6.7,0.331,5.8,12.9,0.452,5.1,5.9,0.863,0.9,8.2,9.1,3.2,1.8,0.4,2.8,3.6,23.4,102.0,105.0,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10.0,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2,2018
78,Jimmy Butler,SG,28,MIN,59,59,2164,10.1,21.3,0.474,1.6,4.6,0.35,8.5,16.7,0.509,8.4,9.8,0.8540000000000001,1.8,5.4,7.3,6.7,2.7,0.6,2.5,1.8,30.2,122.0,110.0,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,7.1,1.8,8.9,0.198,4.9,0.1,5.0,3.8,2018
82,Kentavious Caldwell-Pope,SG,24,LAL,74,74,2458,6.6,15.5,0.426,3.1,8.1,0.383,3.5,7.5,0.473,3.0,3.8,0.789,1.2,6.4,7.5,3.2,2.1,0.3,1.9,2.8,19.3,111.0,108.0,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,0.6,0.4,1.0,1.9,2018
84,Clint Capela,C,23,HOU,74,74,2034,10.7,16.4,0.652,0.0,0.0,0.0,10.7,16.3,0.653,3.5,6.2,0.56,5.8,13.6,19.4,1.6,1.4,3.3,2.5,4.5,24.8,126.0,101.0,24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,0.242,0.1,2.9,3.0,2.6,2018
85,DeMarre Carroll,PF,31,BRK,73,73,2180,7.2,17.5,0.414,3.2,8.7,0.371,4.0,8.8,0.457,4.2,5.5,0.764,2.3,8.3,10.7,3.3,1.3,0.7,2.3,3.7,21.9,109.0,110.0,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,2.3,1.8,4.1,0.091,0.4,-0.3,0.2,1.2,2018
86,Vince Carter,SF,41,SAC,58,5,1026,5.6,14.0,0.403,2.8,8.1,0.345,2.8,5.8,0.483,1.4,1.8,0.757,0.9,6.4,7.3,3.4,2.1,1.3,1.8,4.7,15.4,103.0,110.0,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.5,0.4,-1.1,0.2,2018
90,Willie Cauley-Stein,C,24,SAC,73,58,2044,9.6,19.1,0.502,0.1,0.3,0.25,9.5,18.8,0.506,3.8,6.1,0.619,3.2,9.4,12.6,4.3,1.9,1.7,2.7,4.6,23.1,106.0,108.0,17.6,0.529,0.016,0.32,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2,2018
