,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA,year,playoff
0,Golden State Warriors,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.5710000000000001,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,2015,1
1,Los Angeles Clippers,28.8,56.0,26.0,58.0,24.0,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.5329999999999999,11.6,22.8,0.215,0.493,13.2,75.7,0.231,2015,1
2,San Antonio Spurs,29.8,55.0,27.0,58.0,24.0,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,2015,1
3,Atlanta Hawks,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.4920000000000001,14.9,73.4,0.185,2015,1
4,Portland Trail Blazers,27.0,51.0,31.0,53.0,29.0,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,2015,1
5,Cleveland Cavaliers,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.21600000000000005,0.502,12.6,74.7,0.177,2015,1
6,Houston Rockets,27.6,56.0,26.0,50.0,32.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.5479999999999999,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,2015,1
7,Memphis Grizzlies,29.6,55.0,27.0,50.0,32.0,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.4920000000000001,14.5,75.3,0.183,2015,1
8,Dallas Mavericks,29.9,50.0,32.0,49.0,33.0,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.29600000000000004,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,2015,1
9,Chicago Bulls,28.8,50.0,32.0,50.0,32.0,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,2015,1
10,Oklahoma City Thunder,25.4,45.0,37.0,47.0,35.0,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.4920000000000001,13.1,28.9,0.214,0.489,12.4,75.6,0.213,2015,0
11,Toronto Raptors,26.1,49.0,33.0,49.0,33.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.5529999999999999,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208,2015,1
12,New Orleans Pelicans,25.3,45.0,37.0,43.0,39.0,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,2015,1
13,Utah Jazz,23.4,38.0,44.0,42.0,40.0,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,2015,0
14,Washington Wizards,28.6,46.0,36.0,43.0,39.0,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21,2015,1
15,Milwaukee Bucks,24.6,41.0,41.0,42.0,40.0,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,2015,1
16,Indiana Pacers,28.3,38.0,44.0,42.0,40.0,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,2015,0
17,Phoenix Suns,25.7,39.0,43.0,38.0,44.0,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.29100000000000004,0.537,0.501,13.7,24.5,0.191,0.4970000000000001,14.0,73.5,0.221,2015,0
18,Boston Celtics,25.0,40.0,42.0,41.0,41.0,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.17600000000000002,0.494,13.7,75.0,0.208,2015,1
19,Detroit Pistons,25.9,32.0,50.0,38.0,44.0,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,2015,0
20,Miami Heat,28.5,37.0,45.0,33.0,49.0,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,2015,0
21,Denver Nuggets,26.4,30.0,52.0,31.0,51.0,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,2015,0
22,Sacramento Kings,26.0,29.0,53.0,31.0,51.0,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,2015,0
23,Brooklyn Nets,28.6,38.0,44.0,33.0,49.0,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,2015,1
24,Charlotte Hornets,26.0,33.0,49.0,32.0,50.0,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,2015,0
25,Orlando Magic,24.3,25.0,57.0,25.0,57.0,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,2015,0
26,Los Angeles Lakers,27.0,21.0,61.0,23.0,59.0,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,2015,0
27,Minnesota Timberwolves,24.4,16.0,66.0,19.0,63.0,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,2015,0
28,Philadelphia 76ers,23.2,18.0,64.0,18.0,64.0,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.28800000000000003,0.319,0.494,0.459,16.0,25.5,0.195,0.4970000000000001,15.2,73.0,0.225,2015,0
29,New York Knicks,26.9,17.0,65.0,17.0,65.0,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234,2015,0
0,Houston Rockets,29.8,65.0,17.0,61.0,21.0,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,2018,1
1,Toronto Raptors,25.8,59.0,23.0,60.0,22.0,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,2018,1
2,Golden State Warriors,28.8,58.0,24.0,56.0,26.0,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.339,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.18600000000000005,2018,1
3,Utah Jazz,26.7,48.0,34.0,53.0,29.0,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.35700000000000004,0.564,0.527,13.7,21.5,0.202,0.506,14.0,79.8,0.19,2018,1
4,Philadelphia 76ers,25.8,52.0,30.0,53.0,29.0,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.4920000000000001,12.6,78.6,0.218,2018,1
5,Oklahoma City Thunder,27.3,48.0,34.0,50.0,32.0,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,2018,1
6,Boston Celtics,24.7,55.0,27.0,51.0,31.0,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.35700000000000004,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,2018,1
7,San Antonio Spurs,29.3,47.0,35.0,49.0,33.0,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.5429999999999999,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,2018,1
8,Portland Trail Blazers,25.6,49.0,33.0,48.0,34.0,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.5489999999999999,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,2018,1
9,Minnesota Timberwolves,27.1,47.0,35.0,47.0,35.0,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.5660000000000001,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,2018,1
10,Denver Nuggets,25.1,46.0,36.0,45.0,37.0,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.35700000000000004,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,2018,0
11,New Orleans Pelicans,27.6,48.0,34.0,44.0,38.0,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,2018,1
12,Indiana Pacers,26.2,48.0,34.0,45.0,37.0,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,2018,1
13,Cleveland Cavaliers,30.6,50.0,32.0,43.0,39.0,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,2018,1
14,Washington Wizards,26.9,43.0,39.0,43.0,39.0,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,2018,1
15,Los Angeles Clippers,27.0,42.0,40.0,41.0,41.0,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,2018,0
16,Miami Heat,26.5,44.0,38.0,42.0,40.0,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79.0,0.215,2018,1
17,Charlotte Hornets,26.6,36.0,46.0,42.0,40.0,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.5489999999999999,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,2018,0
18,Detroit Pistons,25.9,39.0,43.0,41.0,41.0,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.5429999999999999,0.512,12.3,22.7,0.16899999999999998,0.524,13.7,78.5,0.172,2018,0
19,Milwaukee Bucks,25.9,44.0,38.0,40.0,42.0,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.5710000000000001,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,2018,1
20,Los Angeles Lakers,23.7,35.0,47.0,37.0,45.0,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.264,0.329,0.5479999999999999,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,2018,0
21,Dallas Mavericks,27.7,24.0,58.0,33.0,49.0,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,2018,0
22,New York Knicks,26.3,29.0,53.0,32.0,50.0,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.21600000000000005,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,2018,0
23,Brooklyn Nets,25.1,28.0,54.0,31.0,51.0,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,2018,0
24,Orlando Magic,25.6,25.0,57.0,28.0,54.0,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20.0,0.18,0.525,12.8,75.6,0.187,2018,0
25,Atlanta Hawks,25.4,24.0,58.0,27.0,55.0,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2018,0
26,Memphis Grizzlies,26.0,22.0,60.0,25.0,57.0,-6.21,0.39,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,0.5,14.0,22.4,0.201,0.529,13.8,76.5,0.256,2018,0
27,Sacramento Kings,26.4,27.0,55.0,23.0,59.0,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.14300000000000002,0.542,13.5,77.6,0.199,2018,0
28,Chicago Bulls,24.4,27.0,55.0,23.0,59.0,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.21600000000000005,0.35,0.529,0.4970000000000001,12.6,20.6,0.16399999999999998,0.542,12.4,80.6,0.184,2018,0
