G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA\
1,2018-10-17,,UTA,L,117,123,110.7,116.4,105.7,.189,.200,.568,45.7,34.7,7.6,5.8,,.553,8.0,11.4,.126,,.601,15.1,86.5,.354\
2,2018-10-19,@,NOP,L,129,149,115.9,133.9,111.3,.271,.260,.600,42.9,48.0,5.4,3.1,,.573,10.8,18.4,.198,,.674,12.7,71.4,.221\
3,2018-10-21,@,OKC,W,131,120,119.1,109.1,110.0,.308,.242,.634,47.4,56.0,10.0,10.8,,.604,14.1,26.7,.231,,.486,13.3,65.4,.183\
4,2018-10-23,@,DEN,L,112,126,111.6,125.6,100.3,.233,.360,.591,44.3,64.4,7.0,8.7,,.599,14.4,20.9,.105,,.571,10.2,66.7,.131\
5,2018-10-24,,MEM,W,97,92,99.7,94.5,97.3,.398,.217,.497,53.8,54.3,7.2,8.8,,.458,12.6,29.4,.253,,.436,13.1,76.4,.106\
6,2018-10-26,,WAS,W,116,112,106.5,102.8,108.9,.242,.389,.552,55.8,56.8,7.3,9.1,,.537,14.6,27.5,.147,,.547,17.9,88.6,.209\
7,2018-10-29,@,MIA,W,123,113,113.0,103.8,108.9,.258,.268,.569,46.9,58.3,7.3,15.1,,.557,10.0,18.8,.155,,.484,14.4,74.0,.261\
8,2018-10-30,@,ORL,W,107,99,104.4,96.6,102.5,.310,.262,.561,51.5,53.7,7.8,12.5,,.536,13.6,17.8,.202,,.456,13.7,79.6,.176\
9,2018-11-01,@,ATL,W,146,115,129.4,101.9,112.9,.327,.357,.651,51.7,71.7,12.4,5.4,,.612,11.1,23.3,.265,,.529,17.7,78.3,.264\
10,2018-11-04,@,MIL,L,109,144,99.5,131.4,109.6,.232,.379,.521,44.0,57.1,5.5,10.3,,.516,12.5,14.8,.116,,.600,9.9,78.3,.316\
11,2018-11-07,,TOR,L,105,114,102.7,111.5,102.2,.205,.261,.547,36.9,64.3,9.8,9.4,,.523,13.5,13.0,.148,,.522,16.8,65.8,.236\
