,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Quincy Acy,PF,24,NYK,68,22,1287,6.2,13.5,0.45899999999999996,0.7,2.5,0.3,5.5,11.1,0.494,3.1,4.0,0.784,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,105,109,11.9,0.5329999999999999,0.18100000000000002,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1.0,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,2015
1,Jordan Adams,SG,20,MEM,30,0,248,7.4,18.1,0.40700000000000003,2.1,5.3,0.4,5.3,12.8,0.41,2.9,4.8,0.609,1.9,4.0,5.9,3.4,3.4,1.5,2.9,5.1,19.8,96,100,12.8,0.489,0.29100000000000004,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0.0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,2015
2,Steven Adams,C,21,OKC,70,67,1771,6.1,11.3,0.544,0.0,0.1,0.0,6.1,11.2,0.547,2.9,5.8,0.502,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,108,104,14.1,0.5489999999999999,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,2015
3,Jeff Adrien,PF,28,MIN,17,0,215,4.5,10.4,0.43200000000000005,0.0,0.0,,4.5,10.4,0.43200000000000005,5.2,9.0,0.579,5.4,12.8,18.2,3.5,0.9,2.1,2.1,7.1,14.2,109,108,14.2,0.494,0.0,0.8640000000000001,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-2.7,0.5,-2.2,0.0,2015
4,Arron Afflalo,SG,29,TOT,78,72,2502,7.5,17.8,0.424,2.4,6.7,0.354,5.2,11.1,0.466,3.4,4.0,0.843,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,103,111,10.7,0.5329999999999999,0.377,0.22399999999999998,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,0.05,-0.5,-1.3,-1.8,0.1,2015
5,Alexis Ajinca,C,26,NOP,68,8,957,9.9,18.1,0.55,0.0,0.0,,9.9,18.1,0.55,4.4,5.4,0.818,5.7,11.6,17.3,2.6,1.2,2.8,3.8,8.3,24.3,113,103,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,2015
6,Furkan Aldemir,PF,23,PHI,41,9,540,3.7,7.2,0.513,0.0,0.5,0.0,3.7,6.8,0.5479999999999999,1.2,2.5,0.48100000000000004,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,117,104,12.0,0.517,0.064,0.34600000000000003,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,0.122,-2.7,2.0,-0.7,0.2,2015
7,Cole Aldrich,C,26,NYK,61,16,976,7.8,16.2,0.478,0.0,0.0,,7.8,16.2,0.478,2.7,3.5,0.7809999999999999,5.4,12.8,18.2,4.0,2.0,3.5,3.2,6.6,18.2,104,102,18.1,0.513,0.0,0.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-2.2,3.1,0.9,0.7,2015
8,LaMarcus Aldridge,PF,29,POR,71,71,2512,13.4,28.7,0.466,0.8,2.1,0.35200000000000004,12.6,26.6,0.475,6.2,7.3,0.845,3.6,11.1,14.7,2.5,1.0,1.4,2.5,2.5,33.7,108,102,22.8,0.528,0.07400000000000001,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4,2015
9,Lavoy Allen,C,25,IND,63,0,1070,6.8,14.4,0.47200000000000003,0.0,0.0,,6.8,14.4,0.47200000000000003,1.6,2.3,0.7020000000000001,5.9,9.6,15.6,3.5,0.7,2.0,1.9,4.9,15.2,109,102,14.9,0.493,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,1.3,1.6,2.8,0.127,-1.4,2.2,0.8,0.8,2015
